No,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
35065,2026,1,1,0,24.0,-20,7.0,1014.0,NW,143.48,0,0
35066,2026,1,1,1,53.0,-20,7.0,1013.0,NW,147.5,0,0
35067,2026,1,1,2,65.0,-20,6.0,1013.0,NW,151.52,0,0
35068,2026,1,1,3,70.0,-20,6.0,1013.0,NW,153.31,0,0
35069,2026,1,1,4,79.0,-18,3.0,1012.0,cv,0.89,0,0
35070,2026,1,1,5,92.0,-18,4.0,1012.0,NW,4.02,0,0
35071,2026,1,1,6,106.0,-19,6.0,1012.0,NW,8.94,0,0
35072,2026,1,1,7,75.0,-19,6.0,1013.0,NW,16.09,0,0
35073,2026,1,1,8,58.0,-18,6.0,1013.0,NW,21.9,0,0
35074,2026,1,1,9,33.0,-18,7.0,1014.0,NW,26.82,0,0
35075,2026,1,1,10,51.0,-18,8.0,1015.0,NW,31.74,0,0
35076,2026,1,1,11,32.0,-18,9.0,1015.0,NW,39.79,0,0
35077,2026,1,1,12,23.0,-17,10.0,1015.0,NW,48.73,0,0
35078,2026,1,1,13,28.0,-18,11.0,1014.0,NW,55.88,0,0
35079,2026,1,1,14,23.0,-17,11.0,1014.0,NW,63.93,0,0
35080,2026,1,1,15,24.0,-17,11.0,1014.0,NW,71.08,0,0
35081,2026,1,1,16,26.0,-17,11.0,1014.0,NW,76.89,0,0
35082,2026,1,1,17,26.0,-16,10.0,1015.0,NW,81.81,0,0
35083,2026,1,1,18,27.0,-16,9.0,1015.0,NW,84.94,0,0
35084,2026,1,1,19,43.0,-16,9.0,1016.0,SE,1.79,0,0
35085,2026,1,1,20,62.0,-14,3.0,1017.0,SE,2.68,0,0
35086,2026,1,1,21,70.0,-14,0.0,1017.0,NE,1.79,0,0
35087,2026,1,1,22,81.0,-12,-1.0,1018.0,SE,0.89,0,0
35088,2026,1,1,23,111.0,-12,0.0,1019.0,NW,1.79,0,0
35089,2026,1,2,0,144.0,-13,-2.0,1019.0,NE,0.89,0,0
35090,2026,1,2,1,170.0,-12,-4.0,1019.0,cv,0.89,0,0
35091,2026,1,2,2,174.0,-12,-4.0,1019.0,cv,1.34,0,0
35092,2026,1,2,3,174.0,-12,-4.0,1019.0,NW,0.89,0,0
35093,2026,1,2,4,172.0,-12,-5.0,1020.0,cv,0.89,0,0
35094,2026,1,2,5,149.0,-10,-2.0,1020.0,SE,1.79,0,0
35095,2026,1,2,6,166.0,-7,-2.0,1020.0,SE,3.58,0,0
35096,2026,1,2,7,187.0,-9,-5.0,1020.0,NE,0.89,0,0
35097,2026,1,2,8,107.0,-9,-5.0,1021.0,NW,3.13,0,0
35098,2026,1,2,9,114.0,-7,-2.0,1021.0,NW,4.92,0,0
35099,2026,1,2,10,108.0,-7,2.0,1021.0,NW,6.71,0,0
35100,2026,1,2,11,102.0,-8,4.0,1020.0,cv,0.89,0,0
35101,2026,1,2,12,95.0,-8,5.0,1019.0,cv,1.78,0,0
35102,2026,1,2,13,127.0,-9,7.0,1017.0,cv,2.67,0,0
35103,2026,1,2,14,125.0,-9,7.0,1016.0,cv,4.46,0,0
35104,2026,1,2,15,128.0,-10,7.0,1016.0,cv,5.35,0,0
35105,2026,1,2,16,146.0,-10,6.0,1016.0,cv,5.8,0,0
35106,2026,1,2,17,165.0,-9,4.0,1016.0,cv,6.69,0,0
35107,2026,1,2,18,173.0,-8,3.0,1016.0,cv,7.58,0,0
35108,2026,1,2,19,195.0,-9,1.0,1016.0,cv,8.47,0,0
35109,2026,1,2,20,239.0,-8,0.0,1017.0,cv,9.36,0,0
35110,2026,1,2,21,232.0,-8,0.0,1017.0,SE,0.89,0,0
35111,2026,1,2,22,242.0,-8,-1.0,1017.0,NE,1.79,0,0
35112,2026,1,2,23,269.0,-7,-1.0,1018.0,NW,4.02,0,0
35113,2026,1,3,0,264.0,-9,0.0,1018.0,NW,7.15,0,0
35114,2026,1,3,1,220.0,-9,1.0,1018.0,cv,0.45,0,0
35115,2026,1,3,2,146.0,-9,0.0,1019.0,NW,4.02,0,0
35116,2026,1,3,3,34.0,-9,1.0,1019.0,cv,0.89,0,0
35117,2026,1,3,4,34.0,-9,-2.0,1020.0,NW,3.13,0,0
35118,2026,1,3,5,35.0,-9,-1.0,1020.0,NW,7.15,0,0
35119,2026,1,3,6,45.0,-13,0.0,1020.0,cv,0.89,0,0
35120,2026,1,3,7,43.0,-13,-1.0,1022.0,NW,3.13,0,0
35121,2026,1,3,8,43.0,-12,-1.0,1023.0,NW,7.15,0,0
35122,2026,1,3,9,36.0,-13,4.0,1024.0,NW,11.17,0,0
35123,2026,1,3,10,36.0,-16,7.0,1025.0,NW,14.3,0,0
35124,2026,1,3,11,23.0,-16,8.0,1024.0,NW,17.43,0,0
35125,2026,1,3,12,25.0,-16,8.0,1023.0,NW,20.56,0,0
35126,2026,1,3,13,29.0,-17,9.0,1022.0,NW,22.35,0,0
35127,2026,1,3,14,26.0,-18,9.0,1022.0,NE,1.79,0,0
35128,2026,1,3,15,21.0,-17,8.0,1022.0,NE,3.58,0,0
35129,2026,1,3,16,25.0,-17,7.0,1022.0,SE,1.79,0,0
35130,2026,1,3,17,31.0,-17,5.0,1023.0,SE,3.58,0,0
35131,2026,1,3,18,43.0,-17,3.0,1023.0,cv,0.45,0,0
35132,2026,1,3,19,46.0,-17,3.0,1024.0,cv,1.34,0,0
35133,2026,1,3,20,50.0,-16,1.0,1024.0,cv,2.23,0,0
35134,2026,1,3,21,68.0,-13,-1.0,1024.0,cv,2.68,0,0
35135,2026,1,3,22,60.0,-11,-1.0,1025.0,SE,1.79,0,0
35136,2026,1,3,23,103.0,-8,-1.0,1025.0,SE,4.92,0,0
35137,2026,1,4,0,85.0,-6,-1.0,1026.0,SE,6.71,0,0
35138,2026,1,4,1,86.0,-6,-2.0,1025.0,SE,8.5,0,0
35139,2026,1,4,2,89.0,-7,-2.0,1025.0,cv,0.89,0,0
35140,2026,1,4,3,77.0,-7,-2.0,1025.0,SE,1.79,0,0
35141,2026,1,4,4,77.0,-9,-5.0,1025.0,cv,0.45,0,0
35142,2026,1,4,5,75.0,-9,-5.0,1025.0,cv,1.34,0,0
35143,2026,1,4,6,80.0,-9,-6.0,1025.0,cv,1.79,0,0
35144,2026,1,4,7,86.0,-7,-4.0,1025.0,SE,0.89,0,0
35145,2026,1,4,8,95.0,-7,-3.0,1025.0,cv,0.89,0,0
35146,2026,1,4,9,101.0,-6,-2.0,1025.0,SE,0.89,0,0
35147,2026,1,4,10,132.0,-6,-1.0,1025.0,SE,1.78,0,0
35148,2026,1,4,11,153.0,-5,-1.0,1024.0,SE,3.57,0,0
35149,2026,1,4,12,173.0,-6,0.0,1023.0,NE,1.79,0,0
35150,2026,1,4,13,178.0,-7,1.0,1021.0,cv,0.89,0,0
35151,2026,1,4,14,176.0,-7,2.0,1020.0,SE,1.79,0,0
35152,2026,1,4,15,209.0,-7,2.0,1020.0,cv,0.89,0,0
35153,2026,1,4,16,219.0,-7,2.0,1020.0,NW,1.79,0,0
35154,2026,1,4,17,224.0,-7,1.0,1020.0,NW,3.58,0,0
