date,year,month,day,hour,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir,pm2.5
2026-01-01 00:00:00,2026,1,1,0,-20,7.0,1014.0,NW,143.48,0,0,24.0
2026-01-01 01:00:00,2026,1,1,1,-20,7.0,1013.0,NW,147.5,0,0,53.0
2026-01-01 02:00:00,2026,1,1,2,-20,6.0,1013.0,NW,151.52,0,0,65.0
2026-01-01 03:00:00,2026,1,1,3,-20,6.0,1013.0,NW,153.31,0,0,70.0
2026-01-01 04:00:00,2026,1,1,4,-18,3.0,1012.0,cv,0.89,0,0,79.0
2026-01-01 05:00:00,2026,1,1,5,-18,4.0,1012.0,NW,4.02,0,0,92.0
2026-01-01 06:00:00,2026,1,1,6,-19,6.0,1012.0,NW,8.94,0,0,106.0
2026-01-01 07:00:00,2026,1,1,7,-19,6.0,1013.0,NW,16.09,0,0,75.0
2026-01-01 08:00:00,2026,1,1,8,-18,6.0,1013.0,NW,21.9,0,0,58.0
2026-01-01 09:00:00,2026,1,1,9,-18,7.0,1014.0,NW,26.82,0,0,33.0
2026-01-01 10:00:00,2026,1,1,10,-18,8.0,1015.0,NW,31.74,0,0,51.0
2026-01-01 11:00:00,2026,1,1,11,-18,9.0,1015.0,NW,39.79,0,0,32.0
2026-01-01 12:00:00,2026,1,1,12,-17,10.0,1015.0,NW,48.73,0,0,23.0
2026-01-01 13:00:00,2026,1,1,13,-18,11.0,1014.0,NW,55.88,0,0,28.0
2026-01-01 14:00:00,2026,1,1,14,-17,11.0,1014.0,NW,63.93,0,0,23.0
2026-01-01 15:00:00,2026,1,1,15,-17,11.0,1014.0,NW,71.08,0,0,24.0
2026-01-01 16:00:00,2026,1,1,16,-17,11.0,1014.0,NW,76.89,0,0,26.0
2026-01-01 17:00:00,2026,1,1,17,-16,10.0,1015.0,NW,81.81,0,0,26.0
2026-01-01 18:00:00,2026,1,1,18,-16,9.0,1015.0,NW,84.94,0,0,27.0
2026-01-01 19:00:00,2026,1,1,19,-16,9.0,1016.0,SE,1.79,0,0,43.0
2026-01-01 20:00:00,2026,1,1,20,-14,3.0,1017.0,SE,2.68,0,0,62.0
2026-01-01 21:00:00,2026,1,1,21,-14,0.0,1017.0,NE,1.79,0,0,70.0
2026-01-01 22:00:00,2026,1,1,22,-12,-1.0,1018.0,SE,0.89,0,0,81.0
2026-01-01 23:00:00,2026,1,1,23,-12,0.0,1019.0,NW,1.79,0,0,111.0
2026-01-02 00:00:00,2026,1,2,0,-13,-2.0,1019.0,NE,0.89,0,0,144.0
